text,label
"The difficulty with this task lies in the fact that prosodic cues are never absolute ; they are relative to individual speakers , gender , dialect , discourse context , local context , phonological environment , and many other factors",1
The problem with rich annotations is that they increase the state space of the grammar substantially,1
"As a consequence , when adapting existing methods and techniques to a new domain , researchers and users are faced with the problem of absence of annotated material that could be used for training",1
The second problem of traditional word alignment approaches is the fact that parameter estimations are usually based on plain text items only,1
The main drawback of these systems is that they fail to recognize terms which are not included in the dictionary,1
"Although these approaches do not suffer from so-called label-bias problems ( Lafferty et al. , 2001 ) , one limitation is that they are inefficient to train with large-scale , especially large category data",1
To overcome the disadvantage of measure word generation in a general SMT system,1
"However , the problem is not totally solved because many verb reorderings are still missed",1
"Furthermore , most pattern-based methods rely on term frequency , which have the limitation of finding infrequent but important product features",1
This solution can avoid the problem of the expansion of CFG rules,1
The main weakness of this method is that an SF error can be corrected only if the right SF appears at least in one of the n-best parse trees,1
The only shortcoming is the cost of annotation,1
"This fact in turn caused the problem of underrepresentation of Kazakh language in various fields such as science , entertainment , official documentation , etc .",1
Perhaps the biggest limitation is the small number of research participants,1
To cope with the problem of sparse training resources,1
One probable disadvantage is that the scheme will be less general,1
The latter approach has the potential weakness of unsupervised training erasing what was learned from the manually annotated corpus,1
A notorious problem with computational linguistics is that there is no path into it,1
"A serious problem in manual nugget creation is the inconsistency in human decisions ( Lin and Hovy , 2003 )",1
We also address the issue of sparse or impoverished training data,1
The limitation is that word vectors developed from distributional models cannot reveal word relatedness if its information does not lie in word distributions,1
"While these algorithms usually achieve the best performance , as compared to their unsupervised or knowledge-based alternatives , there is an important shortcoming associated with these methods : their applicability is limited only to those words for which sense tagged data is available",1
One drawback of this work is that depth-boundedness is undecidable,1
This problem arises due to limited vowel presentation in this writing system,1
What the author and her colleagues have done to avoid the problem of analyzer bias,1
So the loss and distortion of semantic information,1
The problem of data sparseness for PCFG,1
A common problem for unsupervised models trained on verb-object tuples is that the objects can belong to more than one semantic class,1
"Although there exist abundant collections of raw text , the high expense of manually annotating the text",1
The main problem of non-lexicalized context-free grammars is that nonterminal symbols encode too general information which weakly discriminates syntactic ambiguities,1
"HCDAE outperforms single DAE for high dimensional feature learning ( row 6 vs. 5 ; row 9 vs. 8 ; row 14 vs. 13 ; row 17 vs. 16 ) , and further improve the performance of DAE feature learning , which can also somewhat address the bring shortcoming of the limited input features",1
"While this study introduces statistical measures to evaluate instance reliability , it remains vulnerable to data sparseness and has the limitation of taking into consideration only one-word terms",1
"Our heuristics currently allow some such exceptions to be found , although they are by no means a complete solution to the problem of exceptions",1
The challenge of this task is the much skewed distribution in real text,1
"However , the main limitation of existing approaches is that they are ad-hoc : the rules that govern word formation and inflection are only implicit in such systems , usually intertwined with control structures and general code",1
"While MERT does not scale to large numbers of features , the scarcity of manually aligned training data",1
"A major drawback of this early work was that it used no lexical information in the supertagging process as the training material consisted of ( part-of-speech , supertag ) pairs",1
"Despite of their success , a limitation of them is that their performances are easily affected by the size of the context window",1
"Furthermore , one possible drawback in employing this bootstrapping method is that there may be a complementary distribution between prosodic and lexical features",1
Its most obvious drawback is that the method can translate only those source language strings contained in the translation database,1
"Apart from system delay , another current limitation that will influence future interactive speech systems is the unavailability of full prosodic analysis",1
"A major weakness of many existing scoring engines such as the Intelligent Essay AssessorTM ( Landauer et al. , 2003 ) is that they adopt a holistic scoring scheme , which summarizes the quality of an essay with a single score and thus provides very limited feedback to the writer",1
"The latter drawback is the more serious one : the metrics were not designed to evaluate single key/response pairs , but whole texts",1
The disadvantage of this approach is that it involves a good deal of human effort to research on a specific data set and summarize the rules,1
The most significant drawback is that ontologies are not standard among systems,1
"The limitation of locating parts of arguments , such as the positions and head words , is that it is only a partial solution to argument labeling in discourse parsing",1
The only drawback or risk of this strategy is that some of the system timex-values could be incorrect,1
"However , the WCN does not assign probability to the u = fi* case –",1
The primary weakness of this approach is that it relies too heavily on user interaction,1
Our solution to the problem of lone prepositions,1
One shortcoming of the dual decomposition approach is that it only applies to parse-scoring functions with an arc-factored component,1
One disadvantage of the model above is that it is not capable of modeling bilexical dependencies on the right hand side of the rules,1
Another issue with the linear representation of ECs is that crucial dependencies between ECs and other elements in the syntactic structure are not represented,1
"The main drawback is that it needs almost 20,000 iterations before the Gibbs sampler converges",1
One drawback is that it cannot deal with dependencies of higher order of TU n-grams than bigrams,1
Another limitation that may have affected the accuracy of the model was the way in which potential predictor variables were refined,1
A disadvantage of the weasel tag is its short life span,1
The disadvantage is that it is likely to worsen the generalising power of the model,1
"While this retains the coherence of the model , the restriction to pairwise predicates",1
"A drawback to using XPath to query a hierarchy which is serialised to multiple annotation files , is that much of the efficiency of XPath expressions can be lost through the necessity of resolving XLinks at every child or parent step of the expression",1
"In exchange , a limitation of our pre-editing approach is that it is language-dependent , as the underlying technology is based on shallow analysis and is therefore timeexpensive to extend to a new language",1
Intervals have a very obvious weakness in that the highly precise choice of endpoints can rarely be wellmotivated in natural domains such as these,1
"The main limitation of the two models discussed above is that they take the bag-of-words ( BOW ) assumption without considering the fact that an email thread is a multi-party , asynchronous conversation",1
A further difficulty in creating the transformation is that the head passing conventions differ between DepBank and CCGbank,1
"First , as maximum margin classifiers , they sidestep the common issue of overfitting",1
A potential drawback is that it might not work well for low-frequency words,1
A difficulty in comparing approaches to tweet normalization is the sparsity of publicly available datasets,1
All references Sentence Error Rate ( aSER ) : The SER metric presents the drawback of working with only one reference,1
"One drawback of his algorithm is that it requires the proportion of positive and negative examples in the test data be close to the proportion in the training data , which may not always hold , particularly when the training data is small",1
Its major limitation is that it can only handle approximately 20 words or phrases,1
"A major weakness of many existing essay scoring engines such as IntelliMetric ( Elliot , 2001 ) and Intelligent Essay Assessor ( Landauer et al. , 2003 ) is that they adopt a holistic scoring scheme , which summarizes the quality of an essay with a single score and thus provides very limited feedback to the writer",1
The main limitation is that E1 and E2 regularization can not let the model give weight to conjunctions that have not been observed at training,1
A serious limitation of the current implementation is the fact that the configurability of PRESENTOR at the micro-planning level is restricted to the lexicalization and the linguistic realization of rhetorical relations,1
It is obvious that this dual question of true or false invokes the issue of vagueness,1
The primary disadvantages of navigating menus for users are the difficulty of matching their goals to the given options,1
"The drawback is that , since extracted events in test are imperfect , this creates a divergence between training and testing scenarios , which can lead to degraded performance",1
A common limitation is that the user may not find the exact sign ( or version of a sign ) that is needed for a particular sentence,1
Another shortcoming is that these models have not been scrutinized using standard NLP evaluations,1
"However , the shortcoming of both approaches is that they ignore edge type information",1
"Of course , a fundamental problem in evaluating NLG is that there may be many acceptable outputs",1
The main problem with a voting technique is that it does not effectively combine competing factors into a single model,1
A severe limitation of the current TED system is its restricted range of syntactic coverage,1
"The drawback of this move is that when two entities belonging to the same class are adjacent , our classifier will automatically merge them into one entity",1
A limitation of our system in its current version lies in the requirement for absolute lexical match with unknown rule unigrams and bigrams,1
"Although it is very efficient in terms of translation speed , it suffers from the drawback of being dependent on the so-called monotonicity constraint : The alignment paths are assumed to be monotone",1
These analyses have crucially solved the problem of tree overgeneration,1
One limitation is that we have been using the same set of features for all concepts,1
One limitation of the proposed modeling approach is the arc-based features,1
This problem of circularity in expert coding,1
"A large drawback of SMT systems is that they use no or little grammatical knowledge , relying mainly on a target language model for producing correct target language texts , often resulting in ungrammatical output",1
The main drawback is that the entries produced automatically need some semimanual checking,1
