,Title,PMID,text,DOI,labels,source
0,,,"The difficulty with this task lies in the fact that prosodic cues are never absolute ; they are relative to individual speakers , gender , dialect , discourse context , local context , phonological environment , and many other factors",,1,acl_cambridge
1,,,The problem with rich annotations is that they increase the state space of the grammar substantially,,1,acl_cambridge
2,,,"As a consequence , when adapting existing methods and techniques to a new domain , researchers and users are faced with the problem of absence of annotated material that could be used for training",,1,acl_cambridge
3,,,The second problem of traditional word alignment approaches is the fact that parameter estimations are usually based on plain text items only,,1,acl_cambridge
4,,,The main drawback of these systems is that they fail to recognize terms which are not included in the dictionary,,1,acl_cambridge
5,,,"Although these approaches do not suffer from so-called label-bias problems ( Lafferty et al. , 2001 ) , one limitation is that they are inefficient to train with large-scale , especially large category data",,1,acl_cambridge
6,,,To overcome the disadvantage of measure word generation in a general SMT system,,1,acl_cambridge
7,,,"However , the problem is not totally solved because many verb reorderings are still missed",,1,acl_cambridge
8,,,"Furthermore , most pattern-based methods rely on term frequency , which have the limitation of finding infrequent but important product features",,1,acl_cambridge
9,,,This solution can avoid the problem of the expansion of CFG rules,,1,acl_cambridge
10,,,The main weakness of this method is that an SF error can be corrected only if the right SF appears at least in one of the n-best parse trees,,1,acl_cambridge
11,,,The only shortcoming is the cost of annotation,,1,acl_cambridge
12,,,"This fact in turn caused the problem of underrepresentation of Kazakh language in various fields such as science , entertainment , official documentation , etc .",,1,acl_cambridge
13,,,Perhaps the biggest limitation is the small number of research participants,,1,acl_cambridge
14,,,To cope with the problem of sparse training resources,,1,acl_cambridge
15,,,One probable disadvantage is that the scheme will be less general,,1,acl_cambridge
16,,,The latter approach has the potential weakness of unsupervised training erasing what was learned from the manually annotated corpus,,1,acl_cambridge
17,,,A notorious problem with computational linguistics is that there is no path into it,,1,acl_cambridge
18,,,"A serious problem in manual nugget creation is the inconsistency in human decisions ( Lin and Hovy , 2003 )",,1,acl_cambridge
19,,,We also address the issue of sparse or impoverished training data,,1,acl_cambridge
20,,,The limitation is that word vectors developed from distributional models cannot reveal word relatedness if its information does not lie in word distributions,,1,acl_cambridge
21,,,"While these algorithms usually achieve the best performance , as compared to their unsupervised or knowledge-based alternatives , there is an important shortcoming associated with these methods : their applicability is limited only to those words for which sense tagged data is available",,1,acl_cambridge
22,,,One drawback of this work is that depth-boundedness is undecidable,,1,acl_cambridge
23,,,This problem arises due to limited vowel presentation in this writing system,,1,acl_cambridge
24,,,What the author and her colleagues have done to avoid the problem of analyzer bias,,1,acl_cambridge
25,,,So the loss and distortion of semantic information,,1,acl_cambridge
26,,,The problem of data sparseness for PCFG,,1,acl_cambridge
27,,,A common problem for unsupervised models trained on verb-object tuples is that the objects can belong to more than one semantic class,,1,acl_cambridge
28,,,"Although there exist abundant collections of raw text , the high expense of manually annotating the text",,1,acl_cambridge
29,,,The main problem of non-lexicalized context-free grammars is that nonterminal symbols encode too general information which weakly discriminates syntactic ambiguities,,1,acl_cambridge
30,,,"HCDAE outperforms single DAE for high dimensional feature learning ( row 6 vs. 5 ; row 9 vs. 8 ; row 14 vs. 13 ; row 17 vs. 16 ) , and further improve the performance of DAE feature learning , which can also somewhat address the bring shortcoming of the limited input features",,1,acl_cambridge
31,,,"While this study introduces statistical measures to evaluate instance reliability , it remains vulnerable to data sparseness and has the limitation of taking into consideration only one-word terms",,1,acl_cambridge
32,,,"Our heuristics currently allow some such exceptions to be found , although they are by no means a complete solution to the problem of exceptions",,1,acl_cambridge
