nly used for treating NE in children but is poorly understood by most scholars.,None,"A total of 369 children with NE were randomized to receive either suoquan, desmopressin plus suoquan, desmopressin, or behavioral intervention for 2 months, and the response rates evaluated. Subsequently, the viable demographic factors that could lead to success were investigated on logistic regression analysis. Moreover, after 3 months of follow up, the relapse rate was investigated.","The complete response (CR) rate in the desmopressin plus suoquan group (37.5%) was higher than that in the behavioral intervention group (6.3%, P < 0.007). The desmopressin group had a lower CR rate (22.5%) and a higher non-response rate (25.0%) than the desmopressin plus suoquan group (non-response rate, 21.9%; P > 0.007). The relapse rate in the desmopressin group was significantly higher than that in the desmopressin plus suoquan group (72.2% vs. 30.6%, P < 0.007). On Multivariate analysis, treatment group, NE frequency, and age were independent predictors of CR at 2 months (P < 0.05).","Combined traditional Chinese and Western treatment in children with NE is effective and has a low relapse rate. NE frequency, treatment method, and age are important predictive factors for CR after treatment."
8883,28885969,The Use of the Abdominal Aortic and Junctional Tourniquet During Cardiopulmonary Resuscitation Following Traumatic Cardiac Arrest in Swine,"Rall J, Cox JM, Maddry J.",Mil Med. 2017 Sep;182(9):e2001-e2005. doi: 10.7205/MILMED-D-16-00409.,Rall J,Mil Med,2017,2017/09/09,,,10.7205/MILMED-D-16-00409,None,None,None,None,None
8884,28869825,Patient learning of treatment contents in cognitive therapy,"Gumport NB, Dong L, Lee JY, Harvey AG.",J Behav Ther Exp Psychiatry. 2018 Mar;58:51-59. doi: 10.1016/j.jbtep.2017.08.005. Epub 2017 Aug 31.,Gumport NB,J Behav Ther Exp Psychiatry,2018,2017/09/05,PMC5683909,NIHMS904016,10.1016/j.jbtep.2017.08.005,None,"Research has demonstrated that both memory and learning for treatment contents are poor, and that both are associated with worse treatment outcome. The Memory Support Intervention has been shown to improve memory for treatment, but it has not yet been established if this intervention can also improve learning of treatment contents. This study was designed to document the number of times participants exhibited each of the indices of learning, to examine the indices of learning and their relationship to recall of treatment points, and to investigate the association between the indices of learning and depression outcome.","Adults diagnosed with major depressive disorder (N = 48) were randomly assigned to 14 sessions of cognitive therapy-as-usual (CT-as-usual) or cognitive therapy plus the Memory Support Intervention (CT + Memory Support). Measures of learning, memory, and depressive symptomatology were taken at mid-treatment, post-treatment, and at 6-month follow-up.","Relative to the CT-as-usual group, participants in the CT + Memory Support group reported more accurate thoughts and applications of treatment points at mid-treatment, post-treatment, and 6-month follow-up. Patient recall was significantly correlated with application and cognitive generalization. Thoughts and application at mid-treatment were associated with increased odds of treatment response at post-treatment.",The learning measure for this study has not yet been psychometrically validated. The results are based on a small sample.
8885,28866457,Randomized trial of cholangioscopy-guided laser lithotripsy versus conventional therapy for large bile duct stones (with videos),"Buxbaum J, Sahakian A, Ko C, Jayaram P, Lane C, Yu CY, Kankotia R, Laine L.",Gastrointest Endosc. 2018 Apr;87(4):1050-1060. doi: 10.1016/j.gie.2017.08.021. Epub 2017 Sep 1.,Buxbaum J,Gastrointest Endosc,2018,2017/09/04,,,10.1016/j.gie.2017.08.021,None,"Bile duct stones >1 cm have a decreased incidence of successful endoscopic extraction and often require lithotripsy. Although previous guidelines suggested mechanical lithotripsy for large common bile duct stones, current guidelines suggest cholangioscopy-guided lithotripsy as an adjunct with or without balloon dilation or mechanical lithotripsy. However, no randomized trials have assessed the usefulness of this practice.",Patients with bile duct stones >1 cm in diameter were randomized in a 2:1 ratio to cholangioscopy-guided laser lithotripsy versus conventional therapy only. Conventional therapies such as mechanical lithotripsy or balloon dilation were also allowed in the laser lithotripsy group. Randomization was stratified by history of ERCP in the past 3 months. The primary outcome was endoscopic clearance of the bile duct stones.,"Endoscopic clearance was achieved in 39 (93%) of 42 patients treated with cholangioscopy-guided laser lithotripsy and 12 (67%) of 18 treated with conventional therapy only (P = .009). The 9 patients in whom ERCP was unsuccessful underwent surgical common duct exploration with stone removal. Mean procedure time was 120.7 ± 40.2 minutes for the cholangioscopy-guided laser lithotripsy group compared with 81.2 ± 49.3 minutes for the conventional therapy group (P = .0008). There was no significant difference in fluoroscopy time, number of procedures, or adverse events (cholangitis) (cholangioscopy, 2; conventional, 1) and post-ERCP pancreatitis (cholangioscopy, 2; conventional, 1).","Cholangioscopy-guided laser lithotripsy increases the incidence of endoscopic clearance of large bile duct stones and decreases the need for surgery compared with conventional therapy alone. However, it is associated with longer procedure times. (Clinical trial registration number: NCT0175997.)."
8886,28860032,Dietary Patterns and Long-Term Survival: A Retrospective Study of Healthy Primary Care Patients,"Shah NS, Leonard D, Finley CE, Rodriguez F, Sarraju A, Barlow CE, DeFina LF, Willis BL, Haskell WL, Maron DJ.",Am J Med. 2018 Jan;131(1):48-55. doi: 10.1016/j.amjmed.2017.08.010. Epub 2017 Aug 30.,Shah NS,Am J Med,2018,2017/09/02,,,10.1016/j.amjmed.2017.08.010,"Dietary patterns are related to mortality in selected populations with comorbidities. We studied whether dietary patterns are associated with long-term survival in a middle-aged, healthy population.",None,"In this observational cohort study at the Cooper Clinic preventive medicine center (Dallas, Tex), a volunteer sample of 11,376 men and women with no history of myocardial infarction or stroke completed a baseline dietary assessment between 1987 and 1999 and were observed for an average of 18 years. Proportional hazard regressions, including a tree-augmented model, were used to assess the association of the Dietary Approaches to Stop Hypertension (DASH) dietary pattern, Mediterranean dietary pattern, and individual dietary components with mortality. The primary outcome was all-cause mortality. The secondary outcome was cardiovascular mortality.",Mean baseline age was 47 years. Each quintile increase in the DASH diet score was associated with a 6% lower adjusted risk for all-cause mortality (P < .02). The Mediterranean diet was not independently associated with all-cause or cardiovascular mortality. Solid fats and added sugars were the most predictive of mortality. Individuals who consumed >34% of their daily calories as solid fats had the highest risk for all-cause mortality.,"The DASH dietary pattern was associated with significantly lower all-cause mortality over approximately 2 decades of follow-up in a middle-aged, generally healthy population. Added solid fat and added sugar intake were the most predictive of all-cause mortality. These results suggest that promotion of a healthy dietary pattern should begin in middle age, before the development of comorbid risk factors."
8887,28854396,Effect of resistance training on headache symptoms in adults: Secondary analysis of a RCT,"Andersen CH, Jensen RH, Dalager T, Zebis MK, Sjøgaard G, Andersen LL.",Musculoskelet Sci Pract. 2017 Dec;32:38-43. doi: 10.1016/j.msksp.2017.08.003. Epub 2017 Aug 14.,Andersen CH,Musculoskelet Sci Pract,2017,2017/08/31,,,10.1016/j.msksp.2017.08.003,None,None,None,None,None
8888,28850803,High Serum Essential Amino Acids as a Predictor of Skeletal Muscle Depletion in Patients With Cachexia and Advanced Gastrointestinal Cancers,"Kitagawa M, Haji S, Amagai T.",Nutr Clin Pract. 2017 Oct;32(5):645-651. doi: 10.1177/0884533617724742. Epub 2017 Aug 29.,Kitagawa M,Nutr Clin Pract,2017,2017/08/30,,,10.1177/0884533617724742,"In recent years, the number of patients with cancer has increased. These patients are prone to sarcopenia as a result of the decrease in muscle mass and muscle weakness that occur in cancer cachexia. Amino Index Cancer Screening is carried out to evaluate cancer cachexia risk by examining amino acid concentration and analyzing amino acid balance.",None,"We conducted a retrospective chart review of consecutive patients with unresectable advanced gastrointestinal cancer (stage IV) receiving chemotherapy treatment (December 2012-September 2015) in an outpatient or in-hospital setting at our institution (N = 46). Data included characteristics, psoas muscle area per computed tomography, and biochemical blood test and serum amino acid profiles. Method 1: Comparison of biomarkers between 2 groups: psoas muscle index change rate (ΔPMI) decrease vs increase. Method 2.1: Correlation between ΔPMI and biomarkers. Method 2.2: Multiple regression of ΔPMI and biomarkers.","EAA/TAA ratio (essential amino acids/total amino acids) in the decrease group was significantly higher than that in the increase group. Among all parameters, serum C-reactive protein (CRP), leucine, and isoleucine were negatively related to ΔPMI (correlation coefficients = -0.604, -0.540, -0.518; P = .004, .011, .016, respectively). On multiple regression analysis, serum CRP value was strongly related to ΔPMI ( r<sup>2</sup> = 0.452, β = -0.672, P = .001).","Higher serum EAA/TAA ratio and CRP were associated with depletion in psoas muscle area, which led to a diagnosis of sarcopenia, in patients with advanced gastrointestinal cancers. These parameters at baseline could be predictors of cancer cachexia."
8889,28847027,Applying the Newman-Peacock Prognostic System to a Portuguese Obstetrical Population - A Useful Tool?,"Mendes Silva R, Clode N.",Rev Bras Ginecol Obstet. 2018 Jan;40(1):4-10. doi: 10.1055/s-0037-1606243. Epub 2017 Aug 28.,Mendes Silva R,Rev Bras Ginecol Obstet,2018,2017/08/29,,,10.1055/s-0037-1606243," External cephalic version (ECV) is a maneuver that enables the rotation of the non-cephalic fetus to a cephalic presentation. The Newman-Peacock (NP) index, which was proposed by Newman et al. in a study published in 1993, was described as a prediction tool of the success of this procedure; it was validated in a North-American population, and three prognostic groups were identified."," To evaluate the value of the NP score for the prediction of a successful ECV in a Portuguese obstetrical population, and to evaluate maternal and fetal safety."," We present an observational study conducted from 1997-2016 with pregnant women at 36-38 weeks of pregnancy who were candidates for external cephalic version in our department. Demographic and obstetrical data were collected, including the parameters included in the NP index (parity, cervical dilatation, estimated fetal weight, placental location and fetal station). The calculation of the NP score was performed, and the percentages of success were compared among the three prognostic groups and with the original study by Newman et al. The performance of the score was determined using the Student <i>t</i>-test, the Chi-squared test, and a receiver operating characteristic (ROC) curve."," In total, 337 women were included. The overall success rate was of 43.6%. The univariate analysis revealed that multiparity, posterior placentation and a less engaged fetus were factors that favored a successful maneuver (<i>p</i> < 0.05). Moreover, a higher amniotic fluid index was also a relevant predictive factor (<i>p</i> < 0.05). The Newman-Peacock score had a poorer performance in our population compared with that of the sample of the original study, but we still found a positive relationship between higher scores and higher prediction of success (<i>p</i> < 0.001). No fetal or maternal morbidities were registered."," The Newman-Peacock score had a poorer performance among our population compared to its performance in the original study, but the results suggest that this score is still a useful tool to guide our clinical practice and counsel the candidate regarding ECV."
8890,28846688,Effects of lay support for pregnant women with social risk factors on infant development and maternal psychological health at 12 months postpartum,"Popo E, Kenyon S, Dann SA, MacArthur C, Blissett J.",PLoS One. 2017 Aug 28;12(8):e0182544. doi: 10.1371/journal.pone.0182544. eCollection 2017.,Popo E,PLoS One,2017,2017/08/29,PMC5573293,,10.1371/journal.pone.0182544,The ELSIPS (Evaluation of Lay Support in Pregnant Women with Social Risk) RCT showed that lay support for women with social risk had a positive effect on maternal mental health and mother-infant bonding. This exploratory study examined whether these observed benefits would impact infant development at 1 year.,None,"A sub-sample of women whose infants were under one year who had participated in the ELSIPS RCT which randomised women to receive either standard care or the services of a Pregnancy Outreach Worker (POW), and who were contactable, were eligible to participate in the follow up. At home visits, the Bayley Scales of Infant Development (3rd Edition) and standardised measures of depression, self efficacy, mind-mindedness and bonding were completed.","486 women were eligible for follow up, of whom 154 agreed to participate. 61/273 were successfully followed up in the standard maternity care arm and 51/213 in the POW arm. Women who completed follow up were less depressed and had higher selfefficacy scores at 8-12 weeks postpartum than those who did not complete follow up. There were no significant differences in maternal outcomes, infant cognitive development, receptive communication, expressive communication, fine motor development or social/emotional functioning between groups at 12 month follow up. Infants of mothers who received the POW intervention had significantly better gross motor development than infants whose mothers received standard care (p<0.03).",The provision of lay support to women with social risk may facilitate infant gross motor skill development at one year but there were no other demonstrable benefits. The effects of the intervention may be underestimated given that those women who completed follow up had better mental health than the original study sample.
8891,28837519,Patients with Crohn's Disease with High Body Mass Index Present More Frequent and Rapid Loss of Response to Infliximab,"Guerbau L, Gerard R, Duveau N, Staumont-Sallé D, Branche J, Maunoury V, Cattan S, Wils P, Boualit M, Libier L, Cotteau-Leroy A, Desreumaux P, Nachury M, Pariente B.",Inflamm Bowel Dis. 2017 Oct;23(10):1853-1859. doi: 10.1097/MIB.0000000000001179.,Guerbau L,Inflamm Bowel Dis,2017,2017/08/25,,,10.1097/MIB.0000000000001179,None,None,None,None,None
8892,28835465,The effects of structural damage on functional disability in psoriatic arthritis,"Kerschbaumer A, Baker D, Smolen JS, Aletaha D.",Ann Rheum Dis. 2017 Dec;76(12):2038-2045. doi: 10.1136/annrheumdis-2017-211433. Epub 2017 Aug 23.,Kerschbaumer A,Ann Rheum Dis,2017,2017/08/25,,,10.1136/annrheumdis-2017-211433,"Functional outcomes are central in patients with chronic inflammatory musculoskeletal diseases. In a secondary data analysis of the GO-REVEAL trial (NCT00265096), we investigated wether structural damage is linked to functional impairment in patients with psoriatic arthritis (PsA), a link that is still elusive in this disease.",None,"We analysed 363 patients enrolled in the GO-REVEAL study and obtained modified Sharp/van der Heijde Scores (mSvdHS) from X-rays performed at baseline, after 24, 52 and 104 weeks. Using longitudinal analyses, we assessed the effect of total mSvdHS (and its subscores, joint space narrowing (JSN) and erosions (ERO)) on functional status (measured by the Health Assessment Questionnaire) in all patients and in those attaining remission (n=117). Furthermore, we analysed wether structural damage reduces the responsiveness of functional limitations to treatment in a subgroup of responders who had functional impairment at baseline (n=67). Additionally, internal and external validation analyses were performed.","The effect of damage on function was seen in the disease activity-adjusted models using total mSvdHS (p=0.005), JSN (p=0.019) and ERO (p=0.001) as well as in the remission analyses for mSvdHS (p=0.029) and JSN (p=0.010), respectively. Functional responsiveness was limited by increasing total mSvdHS (p=0.010), JSN (p=0.002) and ERO (p=0.040). The results were validated using other functional outcomes and in an independent clinical cohort.","In PsA, structural damage, particularly JSN, has implications for physical function. Functional outcomes have an irreversible component that is strongly related to the extent of joint destruction. This needs to be considered when targeting functional outcomes in clinical practice."
